"COM";"REG";"DEP";"LIBCOM";"code_iris";"LIBIRIS";"num";"P14_POP";"longitude";"latitude"
"01001";84;"01";"L'Abergement-Cl<e9>menciat";"010010000";"L'Abergement-Cl<e9>menciat (commune non iris<e9>e)";23;767;4.9307244;46.1517055503183
"01002";84;"01";"L'Abergement-de-Varey";"010020000";"L'Abergement-de-Varey (commune non iris<e9>e)";2;239;5.42417785;46.0071145503414
"01004";84;"01";"Amb<e9>rieu-en-Bugey";"010040202";"Tiret-Les Allymes";290;4646;5.37057615;45.957529700349
"01004";84;"01";"Amb<e9>rieu-en-Bugey";"010040201";"Centre-St Germain-Vareilles";137;3916;5.37057615;45.957529700349
"01004";84;"01";"Amb<e9>rieu-en-Bugey";"010040101";"Les Perouses-Triangle d'Activite";219;1727;5.37057615;45.957529700349
"01004";84;"01";"Amb<e9>rieu-en-Bugey";"010040102";"Longeray-Gare";177;3732;5.37057615;45.957529700349
"01005";84;"01";"Amb<e9>rieux-en-Dombes";"010050000";"Amb<e9>rieux-en-Dombes (commune non iris<e9>e)";17;1627;4.91189275;45.9992178003426
"01007";84;"01";"Ambronay";"010070000";"Ambronay (commune non iris<e9>e)";132;2570;5.36270755;46.0099102003409
"01008";84;"01";"Ambutrix";"010080000";"Ambutrix (commune non iris<e9>e)";18;743;5.33555785;45.9349658003525
"01009";84;"01";"Andert-et-Condon";"010090000";"Andert-et-Condon (commune non iris<e9>e)";3;338;5.66055255;45.7842288503746
"01010";84;"01";"Anglefort";"010100000";"Anglefort (commune non iris<e9>e)";92;1142;5.79477145;45.9085855003564
"01011";84;"01";"Apremont";"010110000";"Apremont (commune non iris<e9>e)";35;397;5.66161095;46.2043974003096
"01012";84;"01";"Aranc";"010120000";"Aranc (commune non iris<e9>e)";32;325;5.51408915;45.9972007003429
"01013";84;"01";"Arandas";"010130000";"Arandas (commune non iris<e9>e)";1;157;5.49850045;45.8884719503594
"01014";84;"01";"Arbent";"010140000";"Arbent (commune non iris<e9>e)";1533;3405;5.68784595;46.2836224502963
"01015";84;"01";"Arboys en Bugey";"010150000";"Arboys en Bugey (commune non iris<e9>e)";17;638;5.6405099;45.7186688503838
"01016";84;"01";"Arbigny";"010160000";"Arbigny (commune non iris<e9>e)";28;440;4.9611093;46.4808370502616
"01017";84;"01";"Argis";"010170000";"Argis (commune non iris<e9>e)";106;427;5.4819329;45.9320862503529
"01021";84;"01";"Ars-sur-Formans";"010210000";"Ars-sur-Formans (commune non iris<e9>e)";105;1376;4.8194123;45.990367000344
"01022";84;"01";"Artemare";"010220000";"Artemare (commune non iris<e9>e)";27;1193;5.6921721;45.8698424003622
"01023";84;"01";"Asni<e8>res-sur-Sa<f4>ne";"010230000";"Asni<e8>res-sur-Sa<f4>ne (commune non iris<e9>e)";2;66;4.88211115;46.3859023502786
"01024";84;"01";"Attignat";"010240000";"Attignat (commune non iris<e9>e)";608;3386;5.182322;46.2857565002959
"01025";84;"01";"B<e2>g<e9>-la-Ville";"010250000";"B<e2>g<e9>-la-Ville (commune non iris<e9>e)";402;3177;4.9704053;46.3276894002887
