"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75101","751010101","11","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 1",8075,974,"Paris 1er Arrondissement","48.8584842868"," 2.34540677779","48.8584842868, 2.34540677779"
"75","75101","751010102","11","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 2",4930,167,"Paris 1er Arrondissement","48.855954981"," 2.34401756441","48.855954981, 2.34401756441"
"75","75101","751010103","11","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 3",3183,246,"Paris 1er Arrondissement","48.8595579839"," 2.34179582076","48.8595579839, 2.34179582076"
"75","75101","751010104","11","Paris 1er Arrondissement","Saint-Germain l'Auxerrois 4",87387,3,"Paris 1er Arrondissement","48.8611733089"," 2.33529254411","48.8611733089, 2.33529254411"
"75","75101","751010105","11","Paris 1er Arrondissement","Tuileries",17131,0,"Paris 1er Arrondissement","48.8636973438"," 2.32666764377","48.8636973438, 2.32666764377"
"75","75101","751010199","11","Paris 1er Arrondissement","Seine et Berges",257485,0,"Paris 1er Arrondissement","48.8589854156"," 2.33620766992","48.8589854156, 2.33620766992"
"75","75101","751010201","11","Paris 1er Arrondissement","Les Halles 1",8995,2256,"Paris 1er Arrondissement","48.8611813946"," 2.34867925019","48.8611813946, 2.34867925019"
"75","75101","751010202","11","Paris 1er Arrondissement","Les Halles 2",7949,1676,"Paris 1er Arrondissement","48.8606346669"," 2.34337422694","48.8606346669, 2.34337422694"
"75","75101","751010203","11","Paris 1er Arrondissement","Les Halles 3",7508,2374,"Paris 1er Arrondissement","48.8624135288"," 2.34276107316","48.8624135288, 2.34276107316"
"75","75101","751010204","11","Paris 1er Arrondissement","Les Halles 4",5858,2242,"Paris 1er Arrondissement","48.8636247103"," 2.34626511981","48.8636247103, 2.34626511981"
"75","75101","751010205","11","Paris 1er Arrondissement","Les Halles 5",10021,0,"Paris 1er Arrondissement","48.8622322413"," 2.34628206444","48.8622322413, 2.34628206444"
"75","75101","751010206","11","Paris 1er Arrondissement","Les Halles 6",1664,646,"Paris 1er Arrondissement","48.8646993437"," 2.342480996","48.8646993437, 2.342480996"
"75","75101","751010301","11","Paris 1er Arrondissement","Palais Royal 1",28444,2795,"Paris 1er Arrondissement","48.8648779515"," 2.33577839062","48.8648779515, 2.33577839062"
"75","75101","751010302","11","Paris 1er Arrondissement","Palais Royal 2",576,92,"Paris 1er Arrondissement","48.8649257214"," 2.339438928","48.8649257214, 2.339438928"
"75","75101","751010303","11","Paris 1er Arrondissement","Palais Royal 3",4814,408,"Paris 1er Arrondissement","48.8629668422"," 2.33561969841","48.8629668422, 2.33561969841"
"75","75101","751010401","11","Paris 1er Arrondissement","Place Vendome 1",19740,1297,"Paris 1er Arrondissement","48.8659690347"," 2.32738335897","48.8659690347, 2.32738335897"
"75","75101","751010402","11","Paris 1er Arrondissement","Place Vendome 2",17787,1541,"Paris 1er Arrondissement","48.8675688963"," 2.3289965466","48.8675688963, 2.3289965466"
"75","75102","751020501","11","Paris 2e Arrondissement","Gaillon 1",6251,1086,"Paris 2e Arrondissement","48.8686895391"," 2.33472733445","48.8686895391, 2.33472733445"
"75","75102","751020502","11","Paris 2e Arrondissement","Gaillon 2",8704,280,"Paris 2e Arrondissement","48.8691940393"," 2.33116420118","48.8691940393, 2.33116420118"
"75","75102","751020503","11","Paris 2e Arrondissement","Gaillon 3",2311,96,"Paris 2e Arrondissement","48.8704975282"," 2.3352373441","48.8704975282, 2.3352373441"
"75","75102","751020601","11","Paris 2e Arrondissement","Vivienne 1",6812,1715,"Paris 2e Arrondissement","48.8676189534"," 2.33894821203","48.8676189534, 2.33894821203"
"75","75102","751020602","11","Paris 2e Arrondissement","Vivienne 2",11471,1470,"Paris 2e Arrondissement","48.8703718512"," 2.33991740704","48.8703718512, 2.33991740704"
"75","75102","751020701","11","Paris 2e Arrondissement","Mail 1",3891,1806,"Paris 2e Arrondissement","48.8655394645"," 2.34540560365","48.8655394645, 2.34540560365"
"75","75102","751020702","11","Paris 2e Arrondissement","Mail 2",5949,1916,"Paris 2e Arrondissement","48.8669465136"," 2.34367575422","48.8669465136, 2.34367575422"
"75","75102","751020703","11","Paris 2e Arrondissement","Mail 3",15850,2069,"Paris 2e Arrondissement","48.8689501318"," 2.34539645126","48.8689501318, 2.34539645126"
"75","75102","751020704","11","Paris 2e Arrondissement","Mail 4",2641,875,"Paris 2e Arrondissement","48.8703615314"," 2.34459638682","48.8703615314, 2.34459638682"
"75","75102","751020801","11","Paris 2e Arrondissement","Bonne Nouvelle 1",8943,2343,"Paris 2e Arrondissement","48.8665519292"," 2.35186118044","48.8665519292, 2.35186118044"
"75","75102","751020802","11","Paris 2e Arrondissement","Bonne Nouvelle 2",7427,1568,"Paris 2e Arrondissement","48.8649652355"," 2.34806061714","48.8649652355, 2.34806061714"
"75","75102","751020803","11","Paris 2e Arrondissement","Bonne Nouvelle 3",4853,1791,"Paris 2e Arrondissement","48.8659420545"," 2.3492305063","48.8659420545, 2.3492305063"
"75","75102","751020804","11","Paris 2e Arrondissement","Bonne Nouvelle 4",4465,1984,"Paris 2e Arrondissement","48.8679947789"," 2.35018928415","48.8679947789, 2.35018928415"
